256
0.700000
0.010000
99158.902673,120064.142278,115389.136524
82103.044608,101392.163173,97121.570217
72179.222503,87666.595214,84709.317543
71456.419378,81480.899481,78856.735144
65694.721256,76501.343921,74248.294129
65694.721256,74047.773748,72012.963605
65550.890687,71962.701616,70412.070190
63212.537646,70442.107361,68887.762764
61532.265879,68811.125533,67034.768115
59680.971290,67027.564505,65288.331775
57106.076871,65351.372581,63557.926047
57106.076871,63750.867649,62154.767791
57106.076871,62483.284964,61157.304340
56298.086287,61576.342795,60397.462871
53194.721583,60581.513729,59283.242535
53194.721583,59612.760354,58225.698365
53194.721583,58478.869593,57206.751356
52260.184162,57566.438888,56323.452886
51443.564305,56533.445189,55435.137619
51443.564305,55810.754616,54847.445700
51443.564305,55223.265688,54312.484446
50284.703670,54720.936951,53866.144745
49656.716100,54231.042235,53267.044210
49656.716100,53789.039951,52880.142559
49563.204921,53406.104422,52560.480292
49249.350415,52985.860921,52194.030024
49159.418579,52628.153968,51845.012914
49159.418579,52362.304504,51587.349439
49159.418579,52154.805677,51379.054362
49159.418579,51889.763410,51109.526047
49159.418579,51591.553771,50878.252166
48401.635145,51399.154057,50644.235915
48401.635145,51235.265765,50500.153078
47685.025602,50934.369984,50232.806972
47059.185421,50627.081012,50027.983683
47059.185421,50457.723228,49815.082720
46561.799288,50284.703670,49590.010242
46561.799288,50195.011905,49507.927806
46561.799288,50046.899328,49332.601570
46561.799288,49875.100411,49199.919696
46561.799288,49720.784545,49073.722105
46378.818258,49597.405003,48974.176933
46378.818258,49505.834798,48880.542894
46378.818258,49390.424733,48681.631975
46378.818258,49269.451236,48541.664881
46187.431876,49137.510992,48357.340597
46048.874533,48987.220054,48176.214351
45768.861009,48790.904000,48013.297587
45768.861009,48634.425826,47891.733763
45768.861009,48502.472825,47814.206364
